id,order_id,product_id,quantity,unit_price,updated_at
1,1,D22,2,89.69,2025-04-06 04:33:30
2,1,B44,4,8.66,2025-04-06 04:33:30
1,1,D22,2,89.69,2025-04-06 04:33:30
2,1,B44,4,8.66,2025-04-06 04:33:30
3,2,D22,4,72.77,2025-05-09 23:39:02
4,2,A12,2,85.29,2025-05-09 23:39:02
5,2,F99,3,22.88,2025-05-09 23:39:02
6,2,F99,1,15.67,2025-05-09 23:39:02
3,2,D22,4,72.77,2025-05-09 23:39:02
4,2,A12,2,85.29,2025-05-09 23:39:02
5,2,F99,3,22.88,2025-05-09 23:39:02
6,2,F99,1,15.67,2025-05-09 23:39:02
7,3,G88,1,68.48,2025-06-30 05:04:30
7,3,G88,1,68.48,2025-06-30 05:04:30
7,3,G88,1,68.48,2025-06-30 05:04:30
8,4,G88,3,57.14,2025-04-19 22:51:27
8,4,G88,3,57.14,2025-04-19 22:51:27
8,4,G88,3,57.14,2025-04-19 22:51:27
9,5,C01,4,48.64,2025-05-08 09:33:50
10,5,D22,3,101.93,2025-05-08 09:33:50
9,5,C01,4,48.64,2025-05-08 09:33:50
10,5,D22,3,101.93,2025-05-08 09:33:50
9,5,C01,4,48.64,2025-05-08 09:33:50
10,5,D22,3,101.93,2025-05-08 09:33:50
11,6,G88,4,21.43,2025-06-02 03:30:18
12,6,C01,2,90.67,2025-06-02 03:30:18
13,6,E13,4,108.25,2025-06-02 03:30:18
14,6,G88,3,30.22,2025-06-02 03:30:18
11,6,G88,4,21.43,2025-06-02 03:30:18
12,6,C01,2,90.67,2025-06-02 03:30:18
13,6,E13,4,108.25,2025-06-02 03:30:18
14,6,G88,3,30.22,2025-06-02 03:30:18
11,6,G88,4,21.43,2025-06-02 03:30:18
12,6,C01,2,90.67,2025-06-02 03:30:18
13,6,E13,4,108.25,2025-06-02 03:30:18
14,6,G88,3,30.22,2025-06-02 03:30:18
15,7,G88,4,73.53,2025-06-22 07:24:28
15,7,G88,4,73.53,2025-06-22 07:24:28
16,8,F99,1,38.75,2025-04-23 15:50:59
17,8,C01,4,5.37,2025-04-23 15:50:59
18,8,E13,2,63.38,2025-04-23 15:50:59
16,8,F99,1,38.75,2025-04-23 15:50:59
17,8,C01,4,5.37,2025-04-23 15:50:59
18,8,E13,2,63.38,2025-04-23 15:50:59
19,9,A12,3,61.19,2025-05-05 17:16:57
20,9,B44,3,106.05,2025-05-05 17:16:57
19,9,A12,3,61.19,2025-05-05 17:16:57
20,9,B44,3,106.05,2025-05-05 17:16:57
19,9,A12,3,61.19,2025-05-05 17:16:57
20,9,B44,3,106.05,2025-05-05 17:16:57
21,10,C01,4,113.89,2025-04-14 18:33:13
22,10,C01,3,65.68,2025-04-14 18:33:13
21,10,C01,4,113.89,2025-04-14 18:33:13
22,10,C01,3,65.68,2025-04-14 18:33:13
23,11,H77,4,18.92,2025-06-01 17:42:11
24,11,D22,1,43.88,2025-06-01 17:42:11
25,11,D22,2,5.83,2025-06-01 17:42:11
23,11,H77,4,18.92,2025-06-01 17:42:11
24,11,D22,1,43.88,2025-06-01 17:42:11
25,11,D22,2,5.83,2025-06-01 17:42:11
23,11,H77,4,18.92,2025-06-01 17:42:11
24,11,D22,1,43.88,2025-06-01 17:42:11
25,11,D22,2,5.83,2025-06-01 17:42:11
26,12,C01,4,32.94,2025-05-25 06:47:53
27,12,H77,4,26.9,2025-05-25 06:47:53
26,12,C01,4,32.94,2025-05-25 06:47:53
27,12,H77,4,26.9,2025-05-25 06:47:53
28,13,G88,3,97.07,2025-04-11 15:27:21
28,13,G88,3,97.07,2025-04-11 15:27:21
29,14,H77,2,105.57,2025-06-21 23:06:39
30,14,B44,4,97.92,2025-06-21 23:06:39
31,14,B44,1,80.0,2025-06-21 23:06:39
29,14,H77,2,105.57,2025-06-21 23:06:39
30,14,B44,4,97.92,2025-06-21 23:06:39
31,14,B44,1,80.0,2025-06-21 23:06:39
32,15,H77,2,104.43,2025-05-05 10:03:57
33,15,A12,2,48.58,2025-05-05 10:03:57
34,15,G88,3,111.55,2025-05-05 10:03:57
35,15,H77,3,53.65,2025-05-05 10:03:57
32,15,H77,2,104.43,2025-05-05 10:03:57
33,15,A12,2,48.58,2025-05-05 10:03:57
34,15,G88,3,111.55,2025-05-05 10:03:57
35,15,H77,3,53.65,2025-05-05 10:03:57
32,15,H77,2,104.43,2025-05-05 10:03:57
33,15,A12,2,48.58,2025-05-05 10:03:57
34,15,G88,3,111.55,2025-05-05 10:03:57
35,15,H77,3,53.65,2025-05-05 10:03:57
36,16,A12,4,62.83,2025-04-13 22:04:58
36,16,A12,4,62.83,2025-04-13 22:04:58
36,16,A12,4,62.83,2025-04-13 22:04:58
37,17,D22,1,76.23,2025-05-17 01:07:46
37,17,D22,1,76.23,2025-05-17 01:07:46
38,18,E13,4,20.05,2025-05-15 16:55:00
39,18,E13,4,41.36,2025-05-15 16:55:00
38,18,E13,4,20.05,2025-05-15 16:55:00
39,18,E13,4,41.36,2025-05-15 16:55:00
38,18,E13,4,20.05,2025-05-15 16:55:00
39,18,E13,4,41.36,2025-05-15 16:55:00
40,19,F99,1,106.12,2025-07-13 05:35:36
41,19,F99,3,23.14,2025-07-13 05:35:36
40,19,F99,1,106.12,2025-07-13 05:35:36
41,19,F99,3,23.14,2025-07-13 05:35:36
40,19,F99,1,106.12,2025-07-13 05:35:36
41,19,F99,3,23.14,2025-07-13 05:35:36
42,20,E13,1,107.32,2025-05-29 06:12:21
43,20,C01,3,37.4,2025-05-29 06:12:21
42,20,E13,1,107.32,2025-05-29 06:12:21
43,20,C01,3,37.4,2025-05-29 06:12:21
44,21,A12,1,77.94,2025-07-08 11:22:36
45,21,E13,1,5.41,2025-07-08 11:22:36
46,21,C01,3,23.58,2025-07-08 11:22:36
44,21,A12,1,77.94,2025-07-08 11:22:36
45,21,E13,1,5.41,2025-07-08 11:22:36
46,21,C01,3,23.58,2025-07-08 11:22:36
47,22,F99,2,54.43,2025-04-30 10:38:35
47,22,F99,2,54.43,2025-04-30 10:38:35
48,23,B44,3,94.71,2025-06-09 23:30:42
49,23,G88,2,111.46,2025-06-09 23:30:42
48,23,B44,3,94.71,2025-06-09 23:30:42
49,23,G88,2,111.46,2025-06-09 23:30:42
50,24,G88,2,35.68,2025-04-07 22:30:46
51,24,B44,4,105.3,2025-04-07 22:30:46
52,24,H77,2,27.95,2025-04-07 22:30:46
50,24,G88,2,35.68,2025-04-07 22:30:46
51,24,B44,4,105.3,2025-04-07 22:30:46
52,24,H77,2,27.95,2025-04-07 22:30:46
50,24,G88,2,35.68,2025-04-07 22:30:46
51,24,B44,4,105.3,2025-04-07 22:30:46
52,24,H77,2,27.95,2025-04-07 22:30:46
53,25,B44,3,45.38,2025-06-21 13:59:09
54,25,G88,3,113.01,2025-06-21 13:59:09
55,25,B44,3,25.54,2025-06-21 13:59:09
53,25,B44,3,45.38,2025-06-21 13:59:09
54,25,G88,3,113.01,2025-06-21 13:59:09
55,25,B44,3,25.54,2025-06-21 13:59:09
53,25,B44,3,45.38,2025-06-21 13:59:09
54,25,G88,3,113.01,2025-06-21 13:59:09
55,25,B44,3,25.54,2025-06-21 13:59:09
56,26,B44,4,108.44,2025-06-25 01:44:34
57,26,D22,3,10.1,2025-06-25 01:44:34
58,26,G88,1,64.79,2025-06-25 01:44:34
59,26,D22,3,54.6,2025-06-25 01:44:34
60,26,F99,3,81.29,2025-06-25 01:44:34
56,26,B44,4,108.44,2025-06-25 01:44:34
57,26,D22,3,10.1,2025-06-25 01:44:34
58,26,G88,1,64.79,2025-06-25 01:44:34
59,26,D22,3,54.6,2025-06-25 01:44:34
60,26,F99,3,81.29,2025-06-25 01:44:34
61,27,C01,2,53.35,2025-06-03 11:07:21
62,27,G88,2,75.78,2025-06-03 11:07:21
63,27,E13,4,68.01,2025-06-03 11:07:21
61,27,C01,2,53.35,2025-06-03 11:07:21
62,27,G88,2,75.78,2025-06-03 11:07:21
63,27,E13,4,68.01,2025-06-03 11:07:21
64,28,H77,2,63.79,2025-06-02 13:47:24
65,28,C01,1,37.64,2025-06-02 13:47:24
66,28,F99,1,99.12,2025-06-02 13:47:24
67,28,D22,3,30.83,2025-06-02 13:47:24
64,28,H77,2,63.79,2025-06-02 13:47:24
65,28,C01,1,37.64,2025-06-02 13:47:24
66,28,F99,1,99.12,2025-06-02 13:47:24
67,28,D22,3,30.83,2025-06-02 13:47:24
68,29,D22,4,61.85,2025-04-15 03:24:14
69,29,D22,2,80.45,2025-04-15 03:24:14
70,29,A12,1,94.52,2025-04-15 03:24:14
71,29,D22,2,97.47,2025-04-15 03:24:14
68,29,D22,4,61.85,2025-04-15 03:24:14
69,29,D22,2,80.45,2025-04-15 03:24:14
70,29,A12,1,94.52,2025-04-15 03:24:14
71,29,D22,2,97.47,2025-04-15 03:24:14
72,30,F99,4,75.46,2025-06-28 19:15:58
73,30,G88,4,108.18,2025-06-28 19:15:58
74,30,H77,4,34.81,2025-06-28 19:15:58
75,30,D22,3,93.07,2025-06-28 19:15:58
72,30,F99,4,75.46,2025-06-28 19:15:58
73,30,G88,4,108.18,2025-06-28 19:15:58
74,30,H77,4,34.81,2025-06-28 19:15:58
75,30,D22,3,93.07,2025-06-28 19:15:58
76,31,F99,1,20.91,2025-05-16 18:49:09
77,31,D22,4,84.8,2025-05-16 18:49:09
78,31,D22,1,52.71,2025-05-16 18:49:09
76,31,F99,1,20.91,2025-05-16 18:49:09
77,31,D22,4,84.8,2025-05-16 18:49:09
78,31,D22,1,52.71,2025-05-16 18:49:09
79,32,G88,4,5.68,2025-06-15 21:05:36
79,32,G88,4,5.68,2025-06-15 21:05:36
80,33,E13,4,60.85,2025-05-19 03:47:05
81,33,G88,3,81.92,2025-05-19 03:47:05
80,33,E13,4,60.85,2025-05-19 03:47:05
81,33,G88,3,81.92,2025-05-19 03:47:05
80,33,E13,4,60.85,2025-05-19 03:47:05
81,33,G88,3,81.92,2025-05-19 03:47:05
82,34,C01,4,25.9,2025-04-11 06:18:16
83,34,E13,4,42.65,2025-04-11 06:18:16
84,34,H77,3,43.81,2025-04-11 06:18:16
85,34,G88,3,91.48,2025-04-11 06:18:16
82,34,C01,4,25.9,2025-04-11 06:18:16
83,34,E13,4,42.65,2025-04-11 06:18:16
84,34,H77,3,43.81,2025-04-11 06:18:16
85,34,G88,3,91.48,2025-04-11 06:18:16
82,34,C01,4,25.9,2025-04-11 06:18:16
83,34,E13,4,42.65,2025-04-11 06:18:16
84,34,H77,3,43.81,2025-04-11 06:18:16
85,34,G88,3,91.48,2025-04-11 06:18:16
86,35,A12,2,27.93,2025-05-14 15:57:03
86,35,A12,2,27.93,2025-05-14 15:57:03
87,36,F99,2,74.68,2025-05-13 13:47:18
88,36,B44,2,115.94,2025-05-13 13:47:18
89,36,B44,1,111.82,2025-05-13 13:47:18
87,36,F99,2,74.68,2025-05-13 13:47:18
88,36,B44,2,115.94,2025-05-13 13:47:18
89,36,B44,1,111.82,2025-05-13 13:47:18
90,37,B44,3,102.78,2025-04-15 19:10:09
91,37,B44,1,44.93,2025-04-15 19:10:09
90,37,B44,3,102.78,2025-04-15 19:10:09
91,37,B44,1,44.93,2025-04-15 19:10:09
92,38,B44,4,115.49,2025-04-05 22:57:47
93,38,H77,2,55.08,2025-04-05 22:57:47
94,38,E13,4,58.46,2025-04-05 22:57:47
95,38,E13,3,102.95,2025-04-05 22:57:47
92,38,B44,4,115.49,2025-04-05 22:57:47
93,38,H77,2,55.08,2025-04-05 22:57:47
94,38,E13,4,58.46,2025-04-05 22:57:47
95,38,E13,3,102.95,2025-04-05 22:57:47
92,38,B44,4,115.49,2025-04-05 22:57:47
93,38,H77,2,55.08,2025-04-05 22:57:47
94,38,E13,4,58.46,2025-04-05 22:57:47
95,38,E13,3,102.95,2025-04-05 22:57:47
96,39,F99,2,61.07,2025-06-05 19:43:18
97,39,F99,3,44.14,2025-06-05 19:43:18
98,39,E13,1,64.41,2025-06-05 19:43:18
99,39,D22,1,32.76,2025-06-05 19:43:18
96,39,F99,2,61.07,2025-06-05 19:43:18
97,39,F99,3,44.14,2025-06-05 19:43:18
98,39,E13,1,64.41,2025-06-05 19:43:18
99,39,D22,1,32.76,2025-06-05 19:43:18
100,40,B44,3,30.48,2025-07-05 17:23:35
100,40,B44,3,30.48,2025-07-05 17:23:35
101,41,F99,3,85.83,2025-07-13 14:16:31
102,41,E13,3,33.91,2025-07-13 14:16:31
103,41,B44,2,41.29,2025-07-13 14:16:31
104,41,C01,2,29.88,2025-07-13 14:16:31
101,41,F99,3,85.83,2025-07-13 14:16:31
102,41,E13,3,33.91,2025-07-13 14:16:31
103,41,B44,2,41.29,2025-07-13 14:16:31
104,41,C01,2,29.88,2025-07-13 14:16:31
105,42,D22,3,25.64,2025-04-20 13:29:08
106,42,A12,2,36.55,2025-04-20 13:29:08
107,42,A12,3,85.2,2025-04-20 13:29:08
105,42,D22,3,25.64,2025-04-20 13:29:08
106,42,A12,2,36.55,2025-04-20 13:29:08
107,42,A12,3,85.2,2025-04-20 13:29:08
108,43,H77,3,26.2,2025-05-26 07:07:02
109,43,A12,3,113.22,2025-05-26 07:07:02
110,43,H77,1,99.54,2025-05-26 07:07:02
111,43,G88,4,13.52,2025-05-26 07:07:02
108,43,H77,3,26.2,2025-05-26 07:07:02
109,43,A12,3,113.22,2025-05-26 07:07:02
110,43,H77,1,99.54,2025-05-26 07:07:02
111,43,G88,4,13.52,2025-05-26 07:07:02
112,44,B44,4,74.73,2025-05-30 05:58:34
113,44,D22,4,56.81,2025-05-30 05:58:34
112,44,B44,4,74.73,2025-05-30 05:58:34
113,44,D22,4,56.81,2025-05-30 05:58:34
114,45,E13,1,23.06,2025-04-20 13:27:43
115,45,C01,1,23.0,2025-04-20 13:27:43
114,45,E13,1,23.06,2025-04-20 13:27:43
115,45,C01,1,23.0,2025-04-20 13:27:43
116,46,B44,2,111.25,2025-05-30 05:39:57
117,46,D22,4,18.2,2025-05-30 05:39:57
118,46,D22,2,109.47,2025-05-30 05:39:57
119,46,C01,1,11.86,2025-05-30 05:39:57
116,46,B44,2,111.25,2025-05-30 05:39:57
117,46,D22,4,18.2,2025-05-30 05:39:57
118,46,D22,2,109.47,2025-05-30 05:39:57
119,46,C01,1,11.86,2025-05-30 05:39:57
116,46,B44,2,111.25,2025-05-30 05:39:57
117,46,D22,4,18.2,2025-05-30 05:39:57
118,46,D22,2,109.47,2025-05-30 05:39:57
119,46,C01,1,11.86,2025-05-30 05:39:57
120,47,H77,4,14.25,2025-06-18 05:49:32
121,47,A12,4,89.47,2025-06-18 05:49:32
122,47,E13,1,15.5,2025-06-18 05:49:32
123,47,A12,3,71.27,2025-06-18 05:49:32
124,47,C01,4,64.68,2025-06-18 05:49:32
120,47,H77,4,14.25,2025-06-18 05:49:32
121,47,A12,4,89.47,2025-06-18 05:49:32
122,47,E13,1,15.5,2025-06-18 05:49:32
123,47,A12,3,71.27,2025-06-18 05:49:32
124,47,C01,4,64.68,2025-06-18 05:49:32
125,48,F99,4,43.33,2025-07-05 12:36:29
126,48,B44,2,42.93,2025-07-05 12:36:29
127,48,H77,3,81.2,2025-07-05 12:36:29
128,48,G88,1,57.3,2025-07-05 12:36:29
125,48,F99,4,43.33,2025-07-05 12:36:29
126,48,B44,2,42.93,2025-07-05 12:36:29
127,48,H77,3,81.2,2025-07-05 12:36:29
128,48,G88,1,57.3,2025-07-05 12:36:29
129,49,H77,4,11.23,2025-07-10 09:11:32
130,49,F99,4,76.92,2025-07-10 09:11:32
131,49,A12,2,35.71,2025-07-10 09:11:32
132,49,C01,3,55.38,2025-07-10 09:11:32
133,49,H77,1,8.32,2025-07-10 09:11:32
129,49,H77,4,11.23,2025-07-10 09:11:32
130,49,F99,4,76.92,2025-07-10 09:11:32
131,49,A12,2,35.71,2025-07-10 09:11:32
132,49,C01,3,55.38,2025-07-10 09:11:32
133,49,H77,1,8.32,2025-07-10 09:11:32
134,50,B44,2,119.11,2025-04-03 18:43:39
135,50,B44,4,113.91,2025-04-03 18:43:39
136,50,C01,4,112.26,2025-04-03 18:43:39
137,50,E13,3,52.78,2025-04-03 18:43:39
134,50,B44,2,119.11,2025-04-03 18:43:39
135,50,B44,4,113.91,2025-04-03 18:43:39
136,50,C01,4,112.26,2025-04-03 18:43:39
137,50,E13,3,52.78,2025-04-03 18:43:39
138,51,C01,1,36.77,2025-06-14 17:38:25
139,51,G88,3,112.44,2025-06-14 17:38:25
140,51,E13,1,37.53,2025-06-14 17:38:25
141,51,E13,4,104.5,2025-06-14 17:38:25
142,51,H77,4,44.69,2025-06-14 17:38:25
138,51,C01,1,36.77,2025-06-14 17:38:25
139,51,G88,3,112.44,2025-06-14 17:38:25
140,51,E13,1,37.53,2025-06-14 17:38:25
141,51,E13,4,104.5,2025-06-14 17:38:25
142,51,H77,4,44.69,2025-06-14 17:38:25
143,52,G88,2,103.44,2025-05-11 15:11:01
144,52,G88,1,41.59,2025-05-11 15:11:01
145,52,H77,4,49.4,2025-05-11 15:11:01
146,52,C01,4,115.95,2025-05-11 15:11:01
147,52,C01,3,105.02,2025-05-11 15:11:01
143,52,G88,2,103.44,2025-05-11 15:11:01
144,52,G88,1,41.59,2025-05-11 15:11:01
145,52,H77,4,49.4,2025-05-11 15:11:01
146,52,C01,4,115.95,2025-05-11 15:11:01
147,52,C01,3,105.02,2025-05-11 15:11:01
143,52,G88,2,103.44,2025-05-11 15:11:01
144,52,G88,1,41.59,2025-05-11 15:11:01
145,52,H77,4,49.4,2025-05-11 15:11:01
146,52,C01,4,115.95,2025-05-11 15:11:01
147,52,C01,3,105.02,2025-05-11 15:11:01
148,53,E13,3,76.67,2025-05-01 02:22:31
149,53,G88,1,102.95,2025-05-01 02:22:31
150,53,G88,3,77.08,2025-05-01 02:22:31
151,53,H77,1,76.01,2025-05-01 02:22:31
148,53,E13,3,76.67,2025-05-01 02:22:31
149,53,G88,1,102.95,2025-05-01 02:22:31
150,53,G88,3,77.08,2025-05-01 02:22:31
151,53,H77,1,76.01,2025-05-01 02:22:31
152,54,C01,3,108.89,2025-04-20 04:46:41
153,54,A12,3,96.56,2025-04-20 04:46:41
154,54,E13,3,48.11,2025-04-20 04:46:41
155,54,C01,2,66.08,2025-04-20 04:46:41
152,54,C01,3,108.89,2025-04-20 04:46:41
153,54,A12,3,96.56,2025-04-20 04:46:41
154,54,E13,3,48.11,2025-04-20 04:46:41
155,54,C01,2,66.08,2025-04-20 04:46:41
156,55,C01,2,58.03,2025-05-18 01:20:53
157,55,E13,4,34.36,2025-05-18 01:20:53
158,55,A12,4,108.64,2025-05-18 01:20:53
159,55,C01,1,55.8,2025-05-18 01:20:53
160,55,F99,3,78.48,2025-05-18 01:20:53
156,55,C01,2,58.03,2025-05-18 01:20:53
157,55,E13,4,34.36,2025-05-18 01:20:53
158,55,A12,4,108.64,2025-05-18 01:20:53
159,55,C01,1,55.8,2025-05-18 01:20:53
160,55,F99,3,78.48,2025-05-18 01:20:53
161,56,D22,4,70.77,2025-06-14 16:48:01
161,56,D22,4,70.77,2025-06-14 16:48:01
162,57,A12,4,100.78,2025-05-24 18:10:16
163,57,E13,2,74.81,2025-05-24 18:10:16
164,57,F99,2,78.21,2025-05-24 18:10:16
165,57,E13,2,77.25,2025-05-24 18:10:16
166,57,A12,3,95.69,2025-05-24 18:10:16
162,57,A12,4,100.78,2025-05-24 18:10:16
163,57,E13,2,74.81,2025-05-24 18:10:16
164,57,F99,2,78.21,2025-05-24 18:10:16
165,57,E13,2,77.25,2025-05-24 18:10:16
166,57,A12,3,95.69,2025-05-24 18:10:16
167,58,D22,2,95.45,2025-06-03 22:37:17
168,58,F99,3,100.5,2025-06-03 22:37:17
167,58,D22,2,95.45,2025-06-03 22:37:17
168,58,F99,3,100.5,2025-06-03 22:37:17
169,59,C01,2,103.92,2025-04-24 20:43:47
169,59,C01,2,103.92,2025-04-24 20:43:47
169,59,C01,2,103.92,2025-04-24 20:43:47
170,60,F99,3,72.22,2025-07-14 15:36:29
171,60,F99,1,82.61,2025-07-14 15:36:29
172,60,H77,1,76.25,2025-07-14 15:36:29
173,60,F99,2,79.48,2025-07-14 15:36:29
170,60,F99,3,72.22,2025-07-14 15:36:29
171,60,F99,1,82.61,2025-07-14 15:36:29
172,60,H77,1,76.25,2025-07-14 15:36:29
173,60,F99,2,79.48,2025-07-14 15:36:29
174,61,A12,3,119.53,2025-04-23 23:44:57
174,61,A12,3,119.53,2025-04-23 23:44:57
175,62,C01,4,80.32,2025-06-12 02:02:20
176,62,H77,4,112.99,2025-06-12 02:02:20
